business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,types,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,city,verified,state,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,geo_cluster,country
0x3e6751d65629cb05:0x27cbb7ddadc7008c,Unknown,حصن الظفرة Al Dhafra Fort,PXMJ+H7J حصن الظفرة Al Dhafra Fort - Unnamed Road - Abu Dhabi - United Arab Emirates,23.733973,53.980629,58.0,4.7,Asia/Dubai,Unknown,ChIJBcspVtZRZz4RjADHrd23yyc,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e6751d65629cb05:0x27cbb7ddadc7008c,Museum,2-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,Abu Dhabi,False,Open ⋅ Closes 6 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,United Arab Emirates
0x3e675d61493af035:0xa4f20f24f9e8beb7,971569049905,Rafiullah,MP4R+WQJ Rafiullah - Zayed City - Abu Dhabi - United Arab Emirates,23.6573318,53.7418811,3.0,3.0,Asia/Dubai,Unknown,ChIJNfA6SWFdZz4Rt77o-SQP8qQ,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e675d61493af035:0xa4f20f24f9e8beb7,Museum,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Abu Dhabi,False,Open 24 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,United Arab Emirates
0x3e91f7041ac64d33:0x6120c5af14b63b93,96822081500,National Museum of Oman,"National Museum of Oman, opposite Al Alam Palace، Al Saidiya St, Muscat, Oman",23.6116015,58.5937283,3499.0,4.6,Asia/Muscat,https://www.nm.gov.om/,ChIJM03GGgT3kT4Rkzu2FK_FIGE,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3e91f7041ac64d33:0x6120c5af14b63b93,"National museum, Museum, Tourist attraction",2-6 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,Muscat,True,Open ⋅ Closes 5 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Oman
0x487bb1e7815c44db:0x417132a42bd93ef6,443300580058,Science and Industry Museum,"Science and Industry Museum, Liverpool Rd, Manchester M3 4JP, United Kingdom",53.4771358,-2.2545821,17398.0,4.4,Europe/London,https://www.scienceandindustrymuseum.org.uk/,ChIJ20Rcgeexe0gR9j7ZK6QycUE,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x487bb1e7815c44db:0x417132a42bd93ef6,"Science museum, Heritage museum, Museum, Tourist attraction",10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,Manchester,True,Open ⋅ Closes 5 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,United Kingdom
0x487e78e1955eb419:0x4c55c87f0a46d173,441913704000,"Beamish, the Living Museum of the North","Beamish, the Living Museum of the North, Stanley DH9 0RG, United Kingdom",54.8847523,-1.6593206,21957.0,4.8,Europe/London,https://www.beamish.org.uk/,ChIJGbReleF4fkgRc9FGCn_IVUw,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x487e78e1955eb419:0x4c55c87f0a46d173,"Open air museum, Museum, Tourist attraction",10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,Stanley,True,Open ⋅ Closes 5 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,United Kingdom
0x4870bc8c914c47a3:0x66e3b59f807e9444,441213488000,Birmingham Museum & Art Gallery,"Birmingham Museum & Art Gallery, Chamberlain Sq, Birmingham B3 3DH, United Kingdom",52.480111,-1.903462,8266.0,4.5,Europe/London,https://www.birminghammuseums.org.uk/birmingham-museum-and-art-gallery/,ChIJo0dMkYy8cEgRRJR-gJ-142Y,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4870bc8c914c47a3:0x66e3b59f807e9444,"Museum, Art gallery, Art museum, Tourist attraction",10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,Closed,Closed,10 AM-5 PM,10 AM-5 PM,Birmingham,True,Open ⋅ Closes 5 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,United Kingdom
0x47d870963894862d:0x7c69bf53a1c0382d,442070913067,IWM Duxford,"IWM Duxford, IWM Duxford Airfield, Cambridge CB22 4QR, United Kingdom",52.0964654,0.1364797999999999,16076.0,4.8,Europe/London,http://www.iwm.org.uk/visits/iwm-duxford,ChIJLYaUOJZw2EcRLTjAoVO_aXw,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47d870963894862d:0x7c69bf53a1c0382d,"War museum, Museum, Tour agency, Tourist attraction",10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,10 AM-6 PM,Cambridge,True,Open ⋅ Closes 6 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,United Kingdom
0x394f21c4a3ba4d1b:0xfc12611877494d81,92405454554,Umerkot Fort Museum,"9P7P+4QG Umerkot Fort Museum, Moolchand Khati Road, Umarkot, Umerkot, Sindh, Pakistan",25.3643125,69.7342969,473.0,4.1,Asia/Karachi,Unknown,ChIJG026o8QhTzkRgU1JdxhhEvw,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x394f21c4a3ba4d1b:0xfc12611877494d81,"Archaeological museum, Museum",9 AM-12 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,Umarkot,True,Open ⋅ Closes 6 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Pakistan
0x488845d16be594e9:0x5258b27cf1ca9ffe,441412769599,Kelvingrove Art Gallery and Museum,"Kelvingrove Art Gallery and Museum, Argyle St, Glasgow G3 8AG, United Kingdom",55.8685891,-4.2906039,19689.0,4.7,Europe/London,https://www.glasgowlife.org.uk/museums/venues/kelvingrove-art-gallery-and-museum,ChIJ6ZTla9FFiEgR_p_K8XyyWFI,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x488845d16be594e9:0x5258b27cf1ca9ffe,"Museum, Art gallery, Tourist attraction",11 AM-5 PM,10 AM-5 PM,11 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,Glasgow,True,Open ⋅ Closes 5 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,United Kingdom
0x487099fc92a3ad61:0x80fb90ace73738fb,441215579643,Black Country Living Museum,"Black Country Living Museum, Discovery Wy, Dudley DY1 4AL, United Kingdom",52.5199169,-2.0754329,11394.0,4.7,Europe/London,https://bclm.com/,ChIJYa2jkvyZcEgR-zg356yQ-4A,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x487099fc92a3ad61:0x80fb90ace73738fb,"Open air museum, History museum, Tourist attraction",10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,10 AM-5 PM,Dudley,True,Open ⋅ Closes 5 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,United Kingdom
